ACR  38.8367 -122.7603 
AL2  38.8160 -122.8980 
AL3  38.8275 -122.8569 
AL5  38.8400 -122.8686 
AL6  38.8000 -122.8613 
BRP  38.8549 -122.7971 
CLV  38.8384 -122.7903 
CVS  38.3453 -122.4584 
DRK  38.7883 -122.8031 
EPR  38.7471 -122.6934 
FNF  38.7707 -122.7657 
GAC  38.8727 -122.8629 
GAX  38.7107 -122.7572 
GAXB  38.7107 -122.7573 
GBG  38.8143 -122.6827 
GCR  38.7733 -122.7172 
GCV  38.7690 -123.0148 
GCVB  38.7693 -123.0149 
GCW  39.1308 -123.0771 
GDC  38.7678 -123.2396 
GDX  38.8078 -122.7947 
GDXB  38.8080 -122.7953 
GGP  38.7643 -122.8453 
GGPB  38.7644 -122.8452 
GGU  38.8564 -123.4982 
GHC  38.6060 -123.1978 
GHG  39.1281 -122.8245 
GHL  39.0406 -123.0194 
GHO  39.0445 -123.5411 
GHV  39.0853 -122.7359 
GMC  38.7929 -123.1279 
GMK  38.9696 -122.7877 
GNA  39.1974 -123.6318 
GPM  38.8450 -122.9464 
GRT  38.9387 -122.6711 
GSG  38.8663 -122.7109 
GSN  38.9404 -123.1925 
GSS  38.7021 -123.0143 
GWR  39.2058 -123.3011 
HBW  38.8585 -122.8757 
HER  36.7982 -121.7115 
HER  38.8448 -122.9138 
HOPS  38.9935 -123.0723 
MCCM  38.1448 -122.8802 
MNRC  38.8787 -122.4428 
NBO  37.9214 -122.7181 
NBRB  38.2602 -122.5518 
NCF  38.3211 -122.7962 
NEA  38.3099 -122.9430 
NEH  38.3366 -122.8108 
NFR  38.5227 -123.1621 
NFV  38.4677 -122.8965 
NHF  38.0496 -122.5233 
NHS  38.6565 -122.6144 
NHV  38.1649 -122.7130 
NMC  38.5909 -122.9129 
NMH  38.6694 -122.6332 
NMT  38.8058 -122.4477 
NMW  38.5503 -122.7232 
NPV  38.6427 -122.4272 
NSH  38.5199 -122.6082 
NTR  38.2404 -122.7984 
NTY  38.3891 -122.6627 
NTYB  38.3892 -122.6630 
NWR  38.4571 -122.8884 
PFR  35.9107 -120.4874 
PFR  38.7527 -122.7445 
SB4  38.8089 -122.8292 
SQK  38.8234 -122.8101 
